ID studenta	Ime	Dob	Programski jezik	Razina vještine	Broj bodova ispita
1	Ana	20	Python	Početnik	85
2	Boris	22	Java	Srednji	78
3	Nikola	21	C++	Napredni	92
4	David	23	JavaScript	Početnik	70
5	Eva	19	Python	Srednji	88
6	Franjo	24	Java	Napredni	95
7	Gabrijela	20	C++	Početnik	75
8	Hrvoje	22	JavaScript	Srednji	82
9	Ivana	21	Python	Napredni	90
10	Jakov	20	Java	Početnik	68
11	Klara	23	Python	Srednji	75
12	Lovro	20	C++	Napredni	87
13	Marta	22	JavaScript	Početnik	72
14	Nikola	21	Python	Srednji	80
15	Oliver	24	Java	Napredni	93
16	Petra	20	C++	Početnik	78
17	Stjepan	22	JavaScript	Srednji	85
18	Tena	21	Python	Napredni	88
19	Mario	23	Java	Početnik	71
20	Valentina	20	C++	Srednji	82
21	Andrija	22	Python	Napredni	85
22	Božica	21	Java	Početnik	77
23	Cvetko	20	C++	Srednji	79
24	Danijela	24	JavaScript	Napredni	91
25	Ema	22	Python	Početnik	74
26	Filip	21	Java	Srednji	83
27	Gorana	23	C++	Napredni	89
28	Hrvoje	20	JavaScript	Početnik	69
29	Ivana	22	Python	Srednji	76
30	Juraj	21	Java	Napredni	86
31	Katarina	23	C++	Početnik	73
32	Lana	20	JavaScript	Srednji	81
33	Mario	22	Python	Napredni	92
34	Nataša	21	Java	Početnik	67
35	Ozren	23	C++	Srednji	84
36	Petra	20	JavaScript	Napredni	90
37	Renato	22	Python	Početnik	79
38	Sara	21	Java	Srednji	88
39	Tihomir	24	C++	Napredni	93
40	Una	22	JavaScript	Početnik	71
41	Viktor	20	Python	Srednji	77
42	Zrinka	23	Java	Napredni	85
43	Anamarija	21	C++	Početnik	72
44	Bartol	20	JavaScript	Srednji	83
45	Valentina	22	Python	Napredni	89
46	Vanja	21	Java	Početnik	68
47	Zvonimir	23	C++	Srednji	80
48	Anđela	20	JavaScript	Napredni	91
49	Bojan	22	Python	Početnik	75
50	Vesna	21	Java	Srednji	86
